Verified,Helpful,Title,Body,Rating,Variation,Style
yes,yes,"The hype is real and I have mature, dry skin!","I am in my late 60s with normal to dry skin and let me tell you, I'm already in love with this L'Oréal Infallible Freshwear powder foundation! A lot of the reviews I've read have come from younger folks with oiler skin who rave about how awesome it is for oily, textured skin. Well, I'm here to tell you that my skin is mature, on the drier side, with dark spots, texture and wrinkles, and this stuff is magic IF you take the time to BUFF IT IN!! Thats the big key here. I just received my package and couldn't wait to try it out, so without prepping my skin like I usually do before applying foundation (although I still had whatever leftover skincare on my face from last night, which basically after 12 hours was gone), took a full, dense, soft powder foundation brush (Elf ultimate blending brush for example) and started working that baby into my skin. OMG the formula was so creamy I just kept blending and blending, and my pores started to disappear, my dark spots began to be less noticeable, and my skin had a smooth, creamy, natural appearance like no other powder foundation I've ever tried (that includes my high end products). Imagine with prepped skin how this could be! The hype is very real with this, I had to check it out for myself because I have dry, older skin, and sometimes powder foundations can make my skin look drier and too matte. Not this stuff, but the key for me was to buff buff buff it into my pores, which produced the creamiest, loveliest, soft matte glow that totally smoothed out my pores, lines, and nicely covered my dark spots. Not only will I continue using this gem, but will recommend it to my other mature friends and family, it is THAT GOOD.",5,B08GR51PZG,Color Name: ivory 20
yes,yes,This is one powder foundation to have in your collection!,"This is one the best makeup products of the year....I've have tested this many different ways over the last 2 weeks and it has held up every time....I have used this on it's own as a powder foundation,  with and without primer and over foundation as added coverage as a light setting powder....this stuff is great....it holds up.  My makeup looks flawless all day with minimal shine/ oil break through.  I'm not seeing any makeup transfer to a mask either but I'm not wearing one long hours. Since it is winter I cant test the sweat proofness of this but i will say since it is a powder foundation so make sure you have moisturized skin,  dry skin will show through a powder foundation.  This is one you need in your collection,  I find I'm reaching for it daily and I'm glad I bought it!",5,B08GR51PZG,Color Name: ivory 20
yes,yes,Pleasantly surprised by this powder,"I have been wearing the True match (W3 or W4 in summer) and decided to try this because I love the liquid foundation so much. Seriously, check that foundation out if you have not yet had a chance. I wear Linen in this powder and Linen in the liquid and they are a perfect match. it looked a tad light when I first applied it but only took a minute or 2 for it to melt into my skin for a perfect match. I am a light olive and sometimes the True match N3 is too beige and the W3 is a touch too yellow and this is a little of both.",5,B08GR521VL,Color Name: linen 180
yes,yes,MAYBE my new holy grail,"I really love this so far. Its VERY comparable to the jcat aquasurance powder foundation.  Apparently its a dupe for the newer fenty skin powder foundation.  It blurs my poors and provides medium to full coverage. It seems to tranfer less than the jcat one, which so far is not at all. It also has a faint pleasant fresh sent that i really enjoy, and it feels very lightweight on the skin. This might be my new holy grail foundation!",5,B08GR69H8P,Color Name: porcelaine 10
yes,yes,Believe the hype!!!,"I swear, I'm straight shook! I never believe the hype on social media or even makeup in general, but this product lives up to it. It is light weight and outperforms my expensive concealers and foundation. I did not receive this product as part of a promotion and I am not being paid to make this review, nor do I work in the makeup industry. This is the real deal.",5,B08GR64MJ2,Color Name: true beige 130
-,yes,Mature Skins Best Friend!,"This is the best powder foundation I've ever tried and, believe me, I've tried a ton.Ladies, if you have mature skin, you know powders don't usually work for us.This powder foundation is perfect!It doesn't settle into lines and it doesn't look dry or caked. It covers any brown or red spots or blotches instantly.  I even had a small red spot on my forehead from my curling iron.  Gone!I tried this the first day I received it and I've used it everyday since.  I absolutely love the coverage and it doesn't look or feel like I'm wearing makeup at all.  It makes my skin look like it did years and years ago.  Smooth and even.This is what I've been looking for in a foundation.  It looks so natural and let's me look like me, only better. LolAnd I was sooooooo happy 2 foundations were included. What a deal!I tried it over my tinted moisturizer and that is the perfect combination for my dry skin.If I need to run to the store, I can put a little on and I'm out the door, looking great in a few seconds flat.I even fell asleep wearing this powder because I was too tired one night and, to be honest, it still looked pretty darn good in the morning. No blotchy skin. Kind of amazing.This foundation is a must have, in my opinion. I will never be without it.If you've been searching for 'the one', try this.  My search is over.10+ stars on this one!I hope this helps you.",5,B08GR64MJ2,Color Name: true beige 130
yes,yes,it is a great product,"This product is absolutely wonderful and is everything it claims to do. I am 74 years old with good skin and only a few fine lines but have a couple of dark spots on one side of my face. For the first time since usingthis product in the colour 220 Sand, I immediately saw a wonderful difference in coverage, love the matteeffect, and that it really does not transfer. I apply it with a soft brush by stippling it on. It looks so verynatural on my medium skin tone.",5,B08GR52XQ3,Color Name: golden beige 140
yes,yes,PLEASE READ,"I’m usually a full coverage liquid foundation type of girl but I saw this product on TikTok and thought I would give it a try to see 1.) if I liked powder foundation 2.) if it could save me some time on my makeup routine 3.) if it was actually full coverage like it says. So I want to start off by saying DO NOT use a brush to apply this foundation. Just use the sponge it comes with. It makes the world of difference in the appearance of the foundation on your skin. I tried a kabuki brush first and then a regular powder brush. Application was horrible. Upon using the sponge it looked great. Secondly, if you’re addicted to full coverage foundation like me, this one takes some getting used to. It is buildable to get the coverage you want but is still more sheer than a liquid full coverage foundation as to be expected. However, the finish is very nice. It’s light weight on the skin, doesn’t make pores look large or lines look harsh. I wore it all day with no setting spray and while it will transfer easily onto clothes and other things it still lasted all day. Plus it only looks better it seems the longer you have it on. My only warning would be not to buy this product if you have ANY dry skin. Being that it’s a powder it does NOT hide dry skin. I personally have very oily skin and it worked very very well for me. It was also very simple to find a skin tone match which was surprising. I will definitely be purchasing again. I plan to still use my full coverage liquid foundation for special occasions but for everyday wear I will be switching over to this stuff.",5,B08GR52XQ3,Color Name: golden beige 140
yes,yes,BUY IT!,"Buy it, buy it, buy it! I ordered Tuesday and got it yesterday and right on time too. I did my foundation as usual, and used a big fluffy brush to apply this product. I useally cannot use powders or full coverage because my skin is so textured and dry but this left my skin very smooth and flawless. This will now be a permanent staple in my make up bag.",5,B08GR69H8P,Color Name: porcelaine 10
-,yes,Full Coverage!,"It was Perfect!! Very well packed and in great condition! It looks great on my skin. I bought #245 (Radiant Honey) and it provides full coverage with a natural, matte finish!",5,B08GRK7DPY,Color Name: radiant honey 245
yes,yes,Perfect for mask wearing,"I haven't used this as a foundation powder but as a setting powder to add a little coverage. I love using it that way. I find that it doesn't set makeup as well as my maybelline fit me loose powder does but, it adds coverage. I haven't noticed that it makes my makeup look cakey. I especially love to use it as a touch up powder. When I know I'll be wearing a mask, I pile it up on my nose and I don't loose nearly as much coverage on my nose. Its great to reapply during the day as well.",5,B08GR69YJX,Color Name: pearl 5
-,yes,Great lightweight foundation for light coverage!,"This is truly a pressed dry powder as I was honestly expecting a creamy powder foundation. I ordered the 130 true beige and it matched perfectly to my skin tone, I normally wear MAC studio fix in N5 for color comparison.The powder is lightweight and light coverage. I would not recommend this to someone looking for full coverage or even medium coverage. This is more of a coverage I would expect young makeup wearers to wear or someone just trying to control excessive shine/oil.While this powder foundation isn’t for me it is great. It’s a beautiful light coverage and does control excessive shine. It also does actually somehow stay on like a liquid foundation. I would highly recommend for the beauties with freckles that want a foundation that won’t hide them, this is for you!",5,B08GR64MJ2,Color Name: true beige 130
